t_s,phase,P_demand_kW,V_pack,I_pack,SOC_pct,E_consumed_kWh,alt_m,range_km,v_mps,C_rate,E_remaining_kWh
511,Climb,156.8,750.748838527202,-209.066666666667,88.1388706377115,12.5870894815964,1002.84304932735,5.4187331838565,38.0269058295964,1.49571422881143,92.3984986555578
512,Climb,156.8,750.732295958543,-209.066666666667,88.0973230202445,12.6306880449088,1007.96860986547,5.45679932735426,38.1053811659193,1.49571422881143,92.3549431000022
513,Climb,156.8,750.715753389884,-209.066666666667,88.0557754027775,12.674285647527,1013.09417040359,5.49494394618834,38.1838565022422,1.49571422881143,92.3113875444467
514,Climb,156.8,750.699210821226,-209.066666666667,88.0142277853105,12.7178822894507,1018.2197309417,5.53316704035875,38.262331838565,1.49571422881143,92.2678319888911
515,Climb,156.8,750.682668252567,-209.066666666667,87.9726801678435,12.7614779706801,1023.34529147982,5.57146860986547,38.3408071748879,1.49571422881143,92.2242764333355
516,Climb,156.8,750.666010874418,-209.066666666667,87.9311325503766,12.8050726878814,1028.47085201794,5.60984865470852,38.4192825112108,1.49571422881143,92.18072087778
517,Climb,156.8,750.647772836502,-209.066666666667,87.8895849329096,12.8486663918233,1033.59641255605,5.64830717488789,38.4977578475336,1.49571422881143,92.1371653222244
518,Climb,156.8,750.629534798587,-209.066666666667,87.8480373154426,12.8922590366079,1038.72197309417,5.68684417040359,38.5762331838565,1.49571422881143,92.0936097666689
519,Climb,156.8,750.611296760671,-209.066666666667,87.8064896979756,12.9358506222354,1043.84753363229,5.72545964125561,38.6547085201794,1.49571422881143,92.0500542111133
520,Climb,156.8,750.593058722755,-209.066666666667,87.7649420805086,12.9794411487058,1048.9730941704,5.76415358744395,38.7331838565022,1.49571422881143,92.0064986555578
521,Climb,156.8,750.57482068484,-209.066666666667,87.7233944630416,13.0230306160189,1054.09865470852,5.80292600896861,38.8116591928251,1.49571422881143,91.9629431000022
522,Climb,156.8,750.556582646924,-209.066666666667,87.6818468455747,13.0666190241749,1059.22421524664,5.8417769058296,38.890134529148,1.49571422881143,91.9193875444467
523,Climb,156.8,750.538344609008,-209.066666666667,87.6402992281077,13.1102063731738,1064.34977578475,5.88070627802691,38.9686098654709,1.49571422881143,91.8758319888911
524,Climb,156.8,750.520106571093,-209.066666666667,87.5987516106407,13.1537926630155,1069.47533632287,5.91971412556054,39.0470852017937,1.49571422881143,91.8322764333356
525,Climb,156.8,750.501868533177,-209.066666666667,87.5572039931737,13.1973778937,1074.60089686099,5.95880044843049,39.1255605381166,1.49571422881143,91.78872087778
526,Climb,156.8,750.483591257181,-209.066666666667,87.5156563757067,13.240962064088,1079.7264573991,5.99796524663677,39.2040358744395,1.49571422881143,91.7451653222245
527,Climb,156.8,750.464773764038,-209.066666666667,87.4741087582398,13.2845451573538,1084.85201793722,6.03720852017937,39.2825112107623,1.49571422881143,91.7016097666689
528,Climb,156.8,750.445956270895,-209.066666666667,87.4325611407728,13.3281271578111,1089.97757847534,6.0765302690583,39.3609865470852,1.49571422881143,91.6580542111133
529,Climb,156.8,750.427138777752,-209.066666666667,87.3910135233058,13.3717080654599,1095.10313901345,6.11593049327354,39.4394618834081,1.49571422881143,91.6144986555578
530,Climb,156.8,750.408321284609,-209.066666666667,87.3494659058388,13.4152878803002,1100.22869955157,6.15540919282511,39.5179372197309,1.49571422881143,91.5709431000022
531,Climb,156.8,750.389503791466,-209.066666666667,87.3079182883718,13.4588666023321,1105.35426008969,6.194966367713,39.5964125560538,1.49571422881143,91.5273875444467
532,Climb,156.8,750.370686298323,-209.066666666667,87.2663706709048,13.5024442315554,1110.4798206278,6.23460201793722,39.6748878923767,1.49571422881143,91.4838319888911
533,Climb,156.8,750.35186880518,-209.066666666667,87.2248230534378,13.5460207679703,1115.60538116592,6.27431614349776,39.7533632286996,1.49571422881143,91.4402764333355
534,Climb,156.8,750.333051312037,-209.066666666667,87.1832754359709,13.5895962115766,1120.73094170404,6.31410874439462,39.8318385650224,1.49571422881143,91.39672087778
535,Climb,156.8,750.314233818894,-209.066666666667,87.1417278185039,13.6331705623745,1125.85650224215,6.3539798206278,39.9103139013453,1.49571422881143,91.3531653222245
536,Climb,156.8,750.295407996374,-209.066666666667,87.1001802010369,13.676743820122,1130.98206278027,6.39392937219731,39.9887892376682,1.49571422881143,91.3096097666689
537,Climb,156.8,750.276467497693,-209.066666666667,87.0586325835699,13.7203159812475,1136.10762331839,6.43395739910314,40.067264573991,1.49571422881143,91.2660542111133
538,Climb,156.8,750.257526999013,-209.066666666667,87.0170849661029,13.763887042421,1141.2331838565,6.47406390134529,40.1457399103139,1.49571422881143,91.2224986555578
539,Climb,156.8,750.238586500333,-209.066666666667,86.9755373486359,13.8074570036426,1146.35874439462,6.51424887892377,40.2242152466368,1.49571422881143,91.1789431000022
540,Climb,156.8,750.219646001652,-209.066666666667,86.933989731169,13.8510258649123,1151.48430493274,6.55451233183856,40.3026905829596,1.49571422881143,91.1353875444467
541,Climb,156.8,750.200705502972,-209.066666666667,86.892442113702,13.8945936262301,1156.60986547085,6.59485426008969,40.3811659192825,1.49571422881143,91.0918319888911
542,Climb,156.8,750.181765004291,-209.066666666667,86.850894496235,13.9381602875959,1161.73542600897,6.63527466367713,40.4596412556054,1.49571422881143,91.0482764333356
543,Climb,156.8,750.162824505611,-209.066666666667,86.809346878768,13.9817258490098,1166.86098654709,6.6757735426009,40.5381165919283,1.49571422881143,91.00472087778
544,Climb,156.8,750.143884006931,-209.066666666667,86.767799261301,14.0252903104718,1171.9865470852,6.71635089686099,40.6165919282511,1.49571422881143,90.9611653222244
545,Climb,156.8,750.12494350825,-209.066666666667,86.726251643834,14.0688536719819,1177.11210762332,6.7570067264574,40.695067264574,1.49571422881143,90.9176097666689
546,Climb,156.8,750.106003309562,-209.066666666667,86.6847040263671,14.1124159335488,1182.23766816144,6.79774103139013,40.7735426008969,1.49571422881143,90.8740542111133
547,Climb,156.8,750.087067241062,-209.066666666667,86.6431564089001,14.1559770953011,1187.36322869955,6.83855381165919,40.8520179372197,1.49571422881143,90.8304986555578
548,Climb,156.8,750.068131172562,-209.066666666667,86.6016087914331,14.1995371573587,1192.48878923767,6.87944506726457,40.9304932735426,1.49571422881143,90.7869431000022
549,Climb,156.8,750.049195104063,-209.066666666667,86.5600611739661,14.2430961197217,1197.61434977578,6.92041479820628,41.0089686098655,1.49571422881143,90.7433875444467
550,Climb,156.8,750.030259035563,-209.066666666667,86.5185135564991,14.28665398239,1202.7399103139,6.9614630044843,41.0874439461883,1.49571422881143,90.6998319888911
551,Climb,156.8,750.011322967064,-209.066666666667,86.4769659390321,14.3302107453637,1207.86547085202,7.00258968609865,41.1659192825112,1.49571422881143,90.6562764333356
552,Climb,156.8,749.992386898564,-209.066666666667,86.4354183215652,14.3737664086428,1212.99103139013,7.04379484304933,41.2443946188341,1.49571422881143,90.61272087778
553,Climb,156.8,749.973450830064,-209.066666666667,86.3938707040982,14.4173209722272,1218.11659192825,7.08507847533632,41.3228699551569,1.49571422881143,90.5691653222245
554,Climb,156.8,749.954514761565,-209.066666666667,86.3523230866312,14.460874436117,1223.24215246637,7.12644058295964,41.4013452914798,1.49571422881143,90.5256097666689
555,Climb,156.8,749.935578693065,-209.066666666667,86.3107754691642,14.5044268003121,1228.36771300448,7.16788116591928,41.4798206278027,1.49571422881143,90.4820542111133
556,Climb,156.8,749.916643553425,-209.066666666667,86.2692278516972,14.5479780648396,1233.4932735426,7.20940022421525,41.5582959641256,1.49571422881143,90.4384986555578
557,Climb,156.8,749.89772120202,-209.066666666667,86.2276802342302,14.5915282300977,1238.61883408072,7.25099775784753,41.6367713004484,1.49571422881143,90.3949431000022
558,Climb,156.8,749.878798850615,-209.066666666667,86.1861326167632,14.6350772964577,1243.74439461883,7.29267376681614,41.7152466367713,1.49571422881143,90.3513875444467
559,Climb,156.8,749.85987649921,-209.066666666667,86.1445849992963,14.6786252639197,1248.86995515695,7.33442825112108,41.7937219730942,1.49571422881143,90.3078319888911
560,Climb,156.8,749.840954147806,-209.066666666667,86.1030373818293,14.7221721324837,1253.99551569507,7.37626121076233,41.872197309417,1.49571422881143,90.2642764333356
561,Climb,156.8,749.822031796401,-209.066666666667,86.0614897643623,14.7657179021496,1259.12107623318,7.41817264573991,41.9506726457399,1.49571422881143,90.22072087778
562,Climb,156.8,749.803109444996,-209.066666666667,86.0199421468953,14.8092625729175,1264.2466367713,7.46016255605381,42.0291479820628,1.49571422881143,90.1771653222245
563,Climb,156.8,749.784187093591,-209.066666666667,85.9783945294283,14.8528061447874,1269.37219730942,7.50223094170404,42.1076233183856,1.49571422881143,90.1336097666689
564,Climb,156.8,749.765264742186,-209.066666666667,85.9368469119613,14.8963486177592,1274.49775784753,7.54437780269058,42.1860986547085,1.49571422881143,90.0900542111133
565,Climb,156.8,749.746342390781,-209.066666666667,85.8952992944944,14.939889991833,1279.62331838565,7.58660313901345,42.2645739910314,1.49571422881143,90.0464986555578
566,Climb,156.8,749.727414186932,-209.066666666667,85.8537516770274,14.9834302668388,1284.74887892377,7.62890695067265,42.3430493273543,1.49571422881143,90.0029431000022
567,Climb,156.8,749.708405408528,-209.066666666667,85.8122040595604,15.0269694402671,1289.87443946188,7.67128923766816,42.4215246636771,1.49571422881143,89.9593875444467
568,Climb,156.8,749.689396630123,-209.066666666667,85.7706564420934,15.0705075097781,1295,7.71375,42.5,1.49571422881143,89.9158319888911
569,Climb,156.8,749.670387851719,-209.066666666667,85.7291088246264,15.1140444753719,1300.12556053812,7.75628923766816,42.5784753363229,1.49571422881143,89.8722764333356
570,Climb,156.8,749.651379073315,-209.066666666667,85.6875612071594,15.1575803370486,1305.25112107623,7.79890695067265,42.6569506726457,1.49571422881143,89.82872087778
571,Climb,156.8,749.632370294911,-209.066666666667,85.6460135896924,15.201115094808,1310.37668161435,7.84160313901345,42.7354260089686,1.49571422881143,89.7851653222244
572,Climb,156.8,749.613361516507,-209.066666666667,85.6044659722255,15.2446487486502,1315.50224215247,7.88437780269058,42.8139013452915,1.49571422881143,89.7416097666689
573,Climb,156.8,749.594352738102,-209.066666666667,85.5629183547585,15.2881812985753,1320.62780269058,7.92723094170404,42.8923766816144,1.49571422881143,89.6980542111134
574,Climb,156.8,749.575343959698,-209.066666666667,85.5213707372915,15.3317127445831,1325.7533632287,7.97016255605381,42.9708520179372,1.49571422881143,89.6544986555578
575,Climb,156.8,749.556335181294,-209.066666666667,85.4798231198245,15.3752430866737,1330.87892376682,8.01317264573991,43.0493273542601,1.49571422881143,89.6109431000022
576,Climb,156.8,749.537289640668,-209.066666666667,85.4382755023575,15.4187723237796,1336.00448430493,8.05626121076233,43.127802690583,1.49571422881143,89.5673875444467
577,Climb,156.8,749.517737969721,-209.066666666667,85.3967278848905,15.4623004401369,1341.13004484305,8.09942825112108,43.2062780269058,1.49571422881143,89.5238319888911
578,Climb,156.8,749.498186298774,-209.066666666667,85.3551802674236,15.505827421049,1346.25560538117,8.14267376681614,43.2847533632287,1.49571422881143,89.4802764333356
579,Climb,156.8,749.478634627827,-209.066666666667,85.3136326499566,15.5493532665159,1351.38116591928,8.18599775784753,43.3632286995516,1.49571422881143,89.43672087778
580,Climb,156.8,749.45908295688,-209.066666666667,85.2720850324896,15.5928779765376,1356.5067264574,8.22940022421525,43.4417040358744,1.49571422881143,89.3931653222245
581,Climb,156.8,749.439531285933,-209.066666666667,85.2305374150226,15.6364015511142,1361.63228699552,8.27288116591928,43.5201793721973,1.49571422881143,89.3496097666689
