t_s,phase,P_demand_kW,V_pack,I_pack,SOC_pct,E_consumed_kWh,alt_m,range_km,v_mps,C_rate,E_remaining_kWh
1606,Descent,21,749.751609085378,-28,69.7186628912705,32.0249384543757,51,50.9155,18.5,0.200318869930102,73.0880681000022
1607,Descent,21,749.74248208646,-28,69.7130984782169,32.0307698202858,49.5,50.933875,18.25,0.200318869930102,73.0822347666689
1608,Descent,21,749.733355087541,-28,69.7075340651633,32.0366011152081,48,50.952,18,0.200318869930102,73.0764014333355
1609,Descent,21,749.724228088623,-28,69.7019696521097,32.0424323391427,46.5,50.969875,17.75,0.200318869930102,73.0705681000022
1610,Descent,21,749.715101089705,-28,69.696405239056,32.0482634920895,45,50.9875,17.5,0.200318869930102,73.0647347666689
1611,Descent,21,749.705974090787,-28,69.6908408260024,32.0540945740485,43.5,51.004875,17.25,0.200318869930102,73.0589014333356
1612,Descent,21,749.696847091869,-28,69.6852764129488,32.0599255850198,42,51.022,17,0.200318869930102,73.0530681000022
1613,Descent,21,749.68772009295,-28,69.6797119998952,32.0657565250033,40.5,51.038875,16.75,0.200318869930102,73.0472347666689
1614,Descent,21,749.67859309849,-28,69.6741475868416,32.0715873939991,39,51.0555,16.5,0.200318869930102,73.0414014333356
1615,Descent,21,749.669466120566,-28,69.668583173788,32.0774181920071,37.5,51.071875,16.25,0.200318869930102,73.0355681000022
1616,Descent,21,749.660339153153,-28,69.6630187607343,32.0832489190276,36,51.088,16,0.200318869930102,73.0297347666689
1617,Descent,21,749.651212192774,-28,69.6574543476807,32.0890795750607,34.5,51.103875,15.75,0.200318869930102,73.0239014333355
1618,Descent,21,749.642085248043,-28,69.6518899346271,32.0949101601063,33,51.1195,15.5,0.200318869930102,73.0180681000022
1619,Descent,21,749.641015381387,-28,69.6463255215735,32.1007407054976,31.5,51.134875,15.25,0.200318869930102,73.0122347666689
1620,Landing,10.5,751.091191573941,-14,69.6421522117833,32.1051164312077,30,51.15,15,0.100159434965051,73.0078597666689
1621,Landing,10.5,751.209789589784,-14,69.6393700052565,32.1080375720044,29.8333333333333,51.1649583333333,14.9166666666667,0.100159434965051,73.0049431000022
1622,Landing,10.5,751.270612900804,-14,69.6365877987297,32.1109590616759,29.6666666666667,51.1798333333333,14.8333333333333,0.100159434965051,73.0020264333355
1623,Landing,10.5,751.316862879362,-14,69.6338055922029,32.1138807595455,29.5,51.194625,14.75,0.100159434965051,72.9991097666689
1624,Landing,10.5,751.356864306869,-14,69.6310233856761,32.1168026251261,29.3333333333333,51.2093333333333,14.6666666666667,0.100159434965051,72.9961931000022
1625,Landing,10.5,751.392252954379,-14,69.6282411791493,32.1197246372986,29.1666666666667,51.2239583333333,14.5833333333333,0.100159434965051,72.9932764333355
1626,Landing,10.5,751.424006229905,-14,69.6254589726225,32.1226467800248,29,51.2385,14.5,0.100159434965051,72.9903597666689
1627,Landing,10.5,751.452580558222,-14,69.6226767660957,32.1255690400546,28.8333333333333,51.2529583333333,14.4166666666667,0.100159434965051,72.9874431000022
1628,Landing,10.5,751.478236391771,-14,69.6198945595688,32.128491405532,28.6666666666667,51.2673333333333,14.3333333333333,0.100159434965051,72.9845264333355
1629,Landing,10.5,751.500878560791,-14,69.617112353042,32.1314138649222,28.5,51.281625,14.25,0.100159434965051,72.9816097666689
1630,Landing,10.5,751.521072346704,-14,69.6143301465152,32.1343364076045,28.3333333333333,51.2958333333333,14.1666666666667,0.100159434965051,72.9786931000022
1631,Landing,10.5,751.541180970193,-14,69.6115479399884,32.1372590286527,28.1666666666667,51.3099583333333,14.0833333333333,0.100159434965051,72.9757764333355
1632,Landing,10.5,751.556058251946,-14,69.6087657334616,32.1401817177289,28,51.324,14,0.100159434965051,72.9728597666689
1633,Landing,10.5,751.570935533698,-14,69.6059835269348,32.1431044646613,27.8333333333333,51.3379583333333,13.9166666666667,0.100159434965051,72.9699431000022
1634,Landing,10.5,751.583799654894,-14,69.603201320408,32.1460272655353,27.6666666666667,51.3518333333333,13.8333333333333,0.100159434965051,72.9670264333355
1635,Landing,10.5,751.594485390738,-14,69.6004191138812,32.1489501122006,27.5,51.365625,13.75,0.100159434965051,72.9641097666689
1636,Landing,10.5,751.605171126582,-14,69.5976369073544,32.1518730004216,27.3333333333333,51.3793333333333,13.6666666666667,0.100159434965051,72.9611931000022
