SOC,OCVchg_V_15C,OCVdis_V_15C,OCVavg_V_15C,OCVchg_V_25C,OCVdis_V_25C,OCVavg_V_25C,OCVchg_V_45C,OCVdis_V_45C,OCVavg_V_45C
0.35,3.63908704379603,3.56188838589703,3.60048771484653,3.62628598600161,3.55985788168133,3.59307193384147,3.6115500707147,3.54572313607416,3.57863660339443
0.355,3.64418119045126,3.56717617713937,3.60567868379531,3.6314934486243,3.56447055859685,3.59798200361057,3.61705078361083,3.55179483435383,3.58442280898233
0.36,3.64927533710648,3.57246396838171,3.6108696527441,3.6366651903654,3.56908323551236,3.60287421293888,3.62255149650696,3.5570033441088,3.58977742030788
0.365,3.65458577133772,3.57775175962405,3.61616876548088,3.64183693210651,3.57369591242788,3.60776642226719,3.62805220940309,3.56221185386378,3.59513203163343
0.37,3.65998017838473,3.58303955086638,3.62150986462556,3.64700867384761,3.57830858934339,3.6126586315955,3.63355292229922,3.56742036361875,3.60048664295899
0.375,3.66537458543174,3.58832734210872,3.62685096377023,3.65218041558871,3.58292126625891,3.61755084092381,3.63905363519535,3.57262887337373,3.60584125428454
0.38,3.67076899247874,3.59361513335106,3.6321920629149,3.65735215732982,3.58753394317442,3.62244305025212,3.64455434809148,3.5778373831287,3.61119586561009
0.385,3.67616339952575,3.59863896045395,3.63740117998985,3.66252389907092,3.59214662008994,3.62733525958043,3.65005506098761,3.58304589288368,3.61655047693564
0.39,3.68155780657276,3.60363613974981,3.64259697316128,3.66769564081203,3.59675929700545,3.63222746890874,3.65555577388374,3.58825440263866,3.6219050882612
0.395,3.68695221361976,3.60863331904567,3.64779276633272,3.67286738255313,3.60137197392097,3.63711967823705,3.66105648677987,3.59346291239363,3.62725969958675
0.4,3.69234662066677,3.61363049834153,3.65298855950415,3.67803912429424,3.60622973459868,3.64213442944646,3.66667054747459,3.59867142214861,3.6326709848116
0.405,3.69774102771378,3.61862767763739,3.65818435267558,3.68357657383099,3.61212030801942,3.64784844092521,3.67236268053513,3.60390910692884,3.63813589373198
0.41,3.70313543476078,3.62362485693325,3.66338014584702,3.68916760230263,3.61801088144016,3.6535892418714,3.67805481359566,3.60937964469558,3.64371722914562
0.415,3.70841126386578,3.62862203622911,3.66851665004745,3.69475863077426,3.6239014548609,3.65933004281758,3.68374694665619,3.61485018246232,3.64929856455926
0.42,3.71350533983484,3.63361921552497,3.67356227767991,3.70034965924589,3.62979202828164,3.66507084376377,3.68943907971673,3.62032072022906,3.65487989997289
0.425,3.7185994158039,3.63861639482083,3.67860790531237,3.70594068771753,3.63568260170238,3.67081164470995,3.69513121277726,3.62579125799579,3.66046123538653
0.43,3.72369349177296,3.64361357411669,3.68365353294483,3.71153171618916,3.64157317512312,3.67655244565614,3.7008233458378,3.63126179576253,3.66604257080017
0.435,3.72878756774203,3.65000981847919,3.68939869311061,3.71712274466079,3.64746374854386,3.68229324660232,3.70651547889833,3.63673233352927,3.6716239062138
0.44,3.73388164371109,3.6574089116419,3.69564527767649,3.72271377313243,3.65335432196459,3.68803404754851,3.71220761195887,3.64220287129601,3.67720524162744
0.445,3.73897571968015,3.6648080048046,3.70189186224237,3.72830480160406,3.65924489538533,3.6937748484947,3.7178997450194,3.64767340906275,3.68278657704108
0.45,3.74406979564921,3.6722070979673,3.70813844680826,3.73389583007569,3.66538467611428,3.69964025309499,3.72384018654533,3.65314394682949,3.68849206668741
0.455,3.74916387161827,3.67960619113001,3.71438503137414,3.73888857674352,3.67269293970333,3.70579075822343,3.72990506493029,3.65894891474235,3.69442698983632
0.46,3.75425794758733,3.68700528429271,3.72063161594002,3.74378081485691,3.68000120329239,3.71189100907465,3.73596994331526,3.66622284385825,3.70109639358675
0.465,3.75930918762927,3.69440437745542,3.72685678254234,3.7486730529703,3.68730946688145,3.71799125992588,3.74203482170022,3.67349677297414,3.70776579733718
0.47,3.7637833918227,3.70180347061812,3.73279343122041,3.7535652910837,3.69461773047051,3.7240915107771,3.74809970008518,3.68077070209004,3.71443520108761
0.475,3.76825759601614,3.70920256378083,3.73873007989848,3.75845752919709,3.70192599405956,3.73019176162832,3.75416457847014,3.68804463120594,3.72110460483804
